ox,oy
0.48636618,0.5269625
0.6480093000000001,0.6470456
0.49940422,0.61623704
0.59804875,0.76664096
0.6531289,0.5085024
0.5941779,0.14774233
0.7850646,0.19045426
0.6034353,0.36505118
0.52660036,0.78394
0.9558356,0.60150844
0.12014382,0.56935745
0.17509966,0.22908017
0.9751683000000001,0.123654
0.31682122,0.3375631
0.23587316,0.5927053000000001
0.23022163,0.08574851
0.31227446,0.75586534
0.91774154,0.3329046
0.78251606,0.26883847
0.07580396,0.59292847
0.7908326,0.36595872
0.76149684,0.37502090000000005
0.9054123,0.4639871
0.26105229999999996,0.15865594
0.36630422,0.6580213
0.90305513,0.62053746
0.5830911999999999,0.4320706
0.8639945,0.53121865
0.20806599,0.15754771
0.68699133,0.50232214
0.39544192,0.16508076
0.97803926,0.1841348
0.5830379,0.34540390000000004
0.2664497,0.59255904
0.5889196,0.3668729
0.46770224,0.12211434
0.42819288,0.5956345000000001
0.16304168,0.44480023
0.28592867,0.1573793
0.56488675,0.16742496
0.37080422,0.6151866
0.67584485,0.2151824
0.29426217,0.5619481
0.5686344,0.74829483
0.97612005,0.12699765
0.993943,0.12994638
0.9951034,0.116730504
0.47202888,0.2427462
0.652246,0.25703898
0.8119276,0.5989711
0.71526885,0.5318525
0.5754577,0.22273007
0.7273348000000001,0.34927583
0.23061076,0.5825866
0.5240851,0.32260698
0.98345065,0.12563089
0.89089686,0.5500638000000001
0.49167340000000004,0.63681734
0.5314784,0.44378185
0.4069295,0.18292543
0.6051179,0.16657978
0.74830306,0.26058713
0.86522794,0.5301832
0.5486148000000001,0.36651084
0.42207006,0.4728965
0.52142596,0.17430902
0.5957355,0.8140526
0.521111,0.26462340000000006
0.7489387,0.41813874
0.22553696,0.3750675
0.77027124,0.6145347
0.5803443,0.23609926
0.47840434,0.44646883
0.27093562,0.583477
0.7724944,0.40055840000000004
0.7266311,0.5292673000000001
0.39454123,0.96445835
0.8777686,0.5659386
0.95329136,0.6153390000000001
0.18641958,0.42979625
0.9462171,0.5470430000000001
0.7237499,0.58055246
0.6361777,0.22660859
0.9668225,0.11129219
0.42507946,0.22659639
0.3909331,0.19322809999999999
0.7208904,0.4435397
0.78783935,0.40280336
0.81566525,0.16407004
0.6508965999999999,0.7004479
0.5813159000000001,0.18561894
0.75280285,0.40610966
0.35154372,0.7426837
0.8925936,0.14357977
0.33471,0.70826143
0.29941437,0.42712063
0.22455153,0.5975156
0.5331722,0.2943685
0.9797543,0.11415658
0.4985893,0.11967054
0.55005485,0.5934906
0.5961843000000001,0.78957236
0.64473,0.59400094
0.5760460000000001,0.5163966
0.57064545,0.6470333
0.59310097,0.15374781
0.72938854,0.32255575
0.6798304000000001,0.23896553
0.7470091999999999,0.50401175
0.695947,0.22090900000000002
0.91334623,0.6504085000000001
0.35124645,0.15420862
0.6316208999999999,0.48693258
0.5130523,0.1562238
0.7865795,0.57116264
0.20298731,0.2080949
0.19416802,0.6151059
0.7814134,0.60165596
0.17719439,0.32185990000000003
0.22245246,0.6767129
0.5183194000000001,0.38749745
0.29662648,0.7267475999999999
0.95958054,0.11220865
0.5812949000000001,0.67982334
0.58985853,0.5244704000000001
0.43993074,0.26674262
0.27148816,0.69083714
0.21015033,0.08433116
0.26903462,0.12383000599999999
0.44893485,0.5222167999999999
0.6382788,0.40077496
0.34640315,0.17794795
0.86755365,0.54546535
0.46158323,0.7343281999999999
0.6580954999999999,0.22042078
0.27668124,0.44953385
0.5573340999999999,0.77167237
0.35524076,0.44711733
0.31584522,0.029922342
0.92461705,0.60469925
0.78463787,0.18336487
0.29242808,0.51586103
0.8940419,0.6364477
0.5931724,0.16227804
0.9436171,0.6197496
0.79040325,0.41456974
0.3460317,0.178696
0.5468945,0.26232693
0.31863266,0.34398827
0.94567305,0.61075324
0.37156042,0.65079767
0.2115413,0.24015239
0.6970184,0.379261
0.48925096,0.7408084
0.9549506,0.56668353
0.9897703000000001,0.11563157
0.7628093,0.62652695
0.41261086,0.26867625
0.57252115,0.45381057
0.36252140000000005,0.8737940000000001
0.970565,0.11675272
0.49641988,0.7882097
0.65787494,0.25179450000000003
0.2896408,0.67929983
0.26279527,0.7194166999999999
0.42170095,0.6790969
0.6010626,0.22315112
0.7864722,0.4368692
0.27290133,0.26094723
0.17585655,0.33368728
0.7966396,0.31631237
0.592953,0.14793046
